time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2026-01-01T18:00:00+03:00,87986.80,88475.80,87833.10,88354.80,11314.0330,0.00,294.21,0.00,294.21
2026-01-01T22:00:00+03:00,88354.80,88881.40,88193.20,88800.00,9662.6620,294.21,294.21,-50.62,-50.62
2026-01-02T02:00:00+03:00,88800.00,89088.00,88324.40,88899.30,19809.1970,-50.62,-50.62,-663.78,-663.78
2026-01-02T06:00:00+03:00,88899.30,89055.00,88533.60,88829.30,12241.3010,-663.78,-663.78,-2205.15,-2205.15
2026-01-02T10:00:00+03:00,88829.30,89900.00,88780.00,89458.30,27887.3490,-2205.15,-2205.15,-2490.83,-2490.83
2026-01-02T14:00:00+03:00,89458.30,90126.50,88401.20,89373.10,50647.1420,-2490.83,-2205.40,-2490.83,-2205.40
2026-01-02T18:00:00+03:00,89373.00,90945.10,89145.20,89865.00,53631.6950,-2205.40,-2205.40,-2371.72,-2371.72
2026-01-02T22:00:00+03:00,89865.00,90368.70,89588.00,89951.40,12445.7640,-2371.72,-599.33,-2371.72,-599.33
2026-01-03T02:00:00+03:00,89951.50,90365.90,89914.50,90279.90,6484.1850,-599.33,-163.17,-599.33,-163.17
2026-01-03T06:00:00+03:00,90280.00,90456.00,89261.20,89535.90,14358.1500,-163.17,-163.17,-1799.41,-1799.41
2026-01-03T10:00:00+03:00,89535.90,89943.90,89380.20,89706.40,9668.7170,-1799.41,-916.86,-1799.41,-916.86
2026-01-03T14:00:00+03:00,89706.40,90200.00,89620.00,89931.80,10078.9540,-916.86,31.73,-916.86,31.73
2026-01-03T18:00:00+03:00,89931.70,90189.00,89866.50,90091.80,4811.5700,31.73,31.73,13.34,13.34
2026-01-03T22:00:00+03:00,90091.80,90716.90,89972.90,90595.80,11489.6930,13.34,540.93,13.34,540.93
2026-01-04T02:00:00+03:00,90595.80,91597.60,90595.70,91192.70,21036.4740,540.93,1868.96,540.93,1868.96
2026-01-04T06:00:00+03:00,91192.70,91779.70,91142.30,91477.50,13544.5740,1868.96,2146.01,1868.96,2146.01
2026-01-04T10:00:00+03:00,91477.50,91581.70,91111.90,91262.70,11954.4240,2146.01,2146.01,1328.52,1328.52
2026-01-04T14:00:00+03:00,91262.80,91377.20,90968.00,91292.80,10317.5970,1328.52,1656.16,1328.52,1656.16
2026-01-04T18:00:00+03:00,91292.80,91429.40,90790.10,91102.90,9385.3310,1656.16,1656.16,1069.64,1069.64
2026-01-04T22:00:00+03:00,91102.90,91567.00,91085.10,91497.10,7534.6290,1069.64,1572.46,1069.64,1572.46
2026-01-05T02:00:00+03:00,91497.20,93382.50,91476.50,92835.20,51047.5030,1572.46,6554.18,1572.46,6554.18
2026-01-05T06:00:00+03:00,92835.30,92920.00,92102.00,92492.10,20234.1610,6554.18,6554.18,3628.74,3628.74
2026-01-05T10:00:00+03:00,92492.10,93131.80,92292.00,93093.30,20213.7430,3628.74,5557.10,3628.74,5557.10
2026-01-05T14:00:00+03:00,93093.30,93998.90,92370.90,93899.90,43133.1170,5557.10,5557.10,5325.45,5325.45
2026-01-05T18:00:00+03:00,93900.00,94475.70,93201.00,94248.60,35514.6040,5325.45,5630.92,5325.45,5630.92
2026-01-05T22:00:00+03:00,94248.60,94760.30,93757.90,93822.40,19273.1840,5630.92,6275.07,5630.92,6275.07
2026-01-06T02:00:00+03:00,93822.30,94125.10,93467.10,93725.80,13154.6520,6275.07,7130.60,6275.07,7130.60
2026-01-06T06:00:00+03:00,93725.70,93966.40,93088.00,93207.40,16653.0160,7130.60,7130.60,6121.49,6121.49
2026-01-06T10:00:00+03:00,93207.40,93865.50,93130.40,93799.90,13061.4350,6121.49,6849.40,6121.49,6849.40
2026-01-06T14:00:00+03:00,93800.00,94415.40,93292.00,93608.20,42110.3680,6849.40,8347.82,6849.40,8347.82
2026-01-06T18:00:00+03:00,93608.20,93728.90,91209.00,92062.20,69722.5450,8347.82,8347.82,6734.34,6734.34
2026-01-06T22:00:00+03:00,92062.20,93825.00,92062.20,93708.00,32741.0340,6734.34,7296.48,6734.34,7296.48
2026-01-07T02:00:00+03:00,93708.10,93708.10,92202.90,92778.20,23633.1790,7296.48,7296.48,6464.58,6464.58
2026-01-07T06:00:00+03:00,92778.10,92893.00,92457.90,92848.10,9331.5140,6464.58,6464.58,5911.58,5911.58
2026-01-07T10:00:00+03:00,92848.10,92928.00,91549.90,92041.90,31461.2630,5911.58,5911.58,3043.72,3043.72
2026-01-07T14:00:00+03:00,92041.80,92249.30,90987.00,91303.10,39915.3880,3043.72,3043.72,1926.08,1926.08
2026-01-07T18:00:00+03:00,91303.20,91750.00,90634.10,91143.60,28364.9980,1926.08,1938.10,1926.08,1938.10
2026-01-07T22:00:00+03:00,91143.60,91462.10,90740.50,91328.00,16280.5080,1938.10,4909.05,1938.10,4909.05
2026-01-08T02:00:00+03:00,91328.10,91666.00,90555.10,90780.10,15801.5890,4909.05,5393.97,4909.05,5393.97
2026-01-08T06:00:00+03:00,90780.00,91157.60,89588.10,90509.90,33939.8610,5393.97,5393.97,3486.45,3486.45
2026-01-08T10:00:00+03:00,90509.80,90741.20,89733.60,90192.30,26745.9780,3486.45,4535.30,3486.45,4535.30
2026-01-08T14:00:00+03:00,90192.20,90790.00,89242.00,90730.00,49177.4800,4535.30,7241.69,4535.30,7241.69
2026-01-08T18:00:00+03:00,90730.00,91425.10,90244.70,90890.90,28633.8560,7241.69,7241.69,5252.92,5252.92
2026-01-08T22:00:00+03:00,90890.90,91449.90,90519.90,91059.80,14177.1800,5252.92,5303.16,5252.92,5303.16
2026-01-09T02:00:00+03:00,91059.80,91600.00,90800.60,91190.10,13112.4060,5303.16,5905.57,5303.16,5905.57
2026-01-09T06:00:00+03:00,91190.10,91203.00,90704.00,90712.10,7718.5170,5905.57,5905.57,5174.63,5174.63
2026-01-09T10:00:00+03:00,90712.10,90812.00,89632.80,90398.10,29857.9730,5174.63,5174.63,3215.74,3215.74
2026-01-09T14:00:00+03:00,90398.10,91999.00,89800.00,91137.70,50210.1380,3215.74,3515.45,3215.74,3515.45
2026-01-09T18:00:00+03:00,91137.80,91749.90,90145.00,90290.60,30045.6790,3515.45,3671.38,3515.45,3671.38
2026-01-09T22:00:00+03:00,90290.60,90693.00,90082.60,90603.60,9449.9640,3671.38,4886.49,3671.38,4886.49
2026-01-10T02:00:00+03:00,90603.70,90748.60,90474.40,90591.30,4296.0280,4886.49,4886.49,4679.25,4679.25
2026-01-10T06:00:00+03:00,90591.30,90650.40,90351.60,90627.10,3897.2750,4679.25,4679.25,4485.64,4485.64
2026-01-10T10:00:00+03:00,90627.10,90800.00,90570.00,90692.80,5112.2550,4485.64,4485.64,4383.01,4383.01
2026-01-10T14:00:00+03:00,90692.90,90758.70,90494.00,90622.70,4673.0460,4383.01,4383.01,4036.54,4036.54
2026-01-10T18:00:00+03:00,90622.80,90708.00,90450.00,90591.40,3632.7680,4036.54,4036.54,3651.08,3651.08
2026-01-10T22:00:00+03:00,90591.30,90627.60,90358.50,90469.60,3659.3690,3651.08,3656.82,3651.08,3656.82
2026-01-11T02:00:00+03:00,90469.70,90699.90,90410.60,90696.50,3298.7380,3656.82,3855.67,3656.82,3855.67
2026-01-11T06:00:00+03:00,90696.40,90818.00,90530.90,90664.00,3375.4660,3855.67,3855.67,3498.96,3498.96
2026-01-11T10:00:00+03:00,90663.90,90787.80,90555.00,90707.30,4860.9610,3498.96,3498.96,3127.67,3127.67
2026-01-11T14:00:00+03:00,90707.20,91143.10,90650.00,90834.10,11189.1150,3127.67,3127.67,2691.14,2691.14
2026-01-11T18:00:00+03:00,90834.00,91252.50,90609.50,90644.70,7657.3260,2691.14,2923.29,2691.14,2923.29
2026-01-11T22:00:00+03:00,90644.70,91000.00,90175.30,90964.40,13162.7760,2923.29,2923.29,2699.17,2699.17
2026-01-12T02:00:00+03:00,90964.40,92488.00,90642.00,91766.20,34613.1150,2699.17,2699.17,1875.08,1875.08
2026-01-12T06:00:00+03:00,91766.20,92245.10,91342.00,91369.20,14891.6930,1875.08,1875.08,823.58,823.58
2026-01-12T10:00:00+03:00,91369.20,91586.50,90319.40,90573.90,30364.7380,823.58,1795.97,823.58,1795.97
2026-01-12T14:00:00+03:00,90573.90,91637.80,90066.00,91618.70,33382.5960,1795.97,1795.97,753.08,753.08
2026-01-12T18:00:00+03:00,91618.60,92299.00,90966.00,91821.90,43461.4070,753.08,753.08,-1267.33,-1267.33
2026-01-12T22:00:00+03:00,91821.90,92017.00,90870.00,91252.60,12523.8340,-1267.33,-714.01,-1267.33,-714.01
2026-01-13T02:00:00+03:00,91252.50,91524.50,91011.00,91380.90,11584.5520,-714.01,729.69,-714.01,729.69
2026-01-13T06:00:00+03:00,91380.90,92258.00,91316.30,91908.00,20473.1160,729.69,729.69,639.15,639.15
2026-01-13T10:00:00+03:00,91908.00,92676.60,91850.60,91962.10,23092.1180,639.15,639.15,494.93,494.93
2026-01-13T14:00:00+03:00,91962.10,93408.00,91700.60,93407.90,48588.2040,494.93,1050.94,494.93,1050.94
2026-01-13T18:00:00+03:00,93407.90,94189.00,93009.80,94179.50,39149.6460,1050.94,2194.83,1050.94,2194.83
2026-01-13T22:00:00+03:00,94179.60,96863.70,94011.70,95375.20,57658.2820,2194.83,10130.94,2194.83,10130.94
2026-01-14T02:00:00+03:00,95375.20,95670.00,95082.00,95665.70,16464.4910,10130.94,10574.41,10130.94,10574.41
2026-01-14T06:00:00+03:00,95665.60,95755.00,94413.40,95166.60,23449.9180,10574.41,10574.41,9039.39,9039.39
2026-01-14T10:00:00+03:00,95166.60,95288.00,94700.00,94763.60,14291.2890,9039.39,9039.39,8684.52,8684.52
2026-01-14T14:00:00+03:00,94763.70,97100.00,94643.00,96691.90,56131.3290,8684.52,10939.75,8684.52,10939.75
2026-01-14T18:00:00+03:00,96691.90,97733.90,96180.00,97221.80,52868.1590,10939.75,13037.15,10939.75,13037.15
2026-01-14T22:00:00+03:00,97221.80,97932.10,96666.60,96907.90,18838.3050,13037.15,13037.15,12659.56,12659.56
2026-01-15T02:00:00+03:00,96908.00,96960.90,95733.10,95943.10,19713.8740,12659.56,12659.56,12545.66,12545.66
2026-01-15T06:00:00+03:00,95943.10,96744.20,95909.10,96601.20,17931.6600,12545.66,12953.79,12545.66,12953.79
2026-01-15T10:00:00+03:00,96601.20,97155.00,96243.80,96548.90,15485.8990,12953.79,12953.79,12583.50,12583.50
2026-01-15T14:00:00+03:00,96548.90,97100.00,95403.70,96717.30,45603.1320,12583.50,15155.85,12583.50,15155.85
2026-01-15T18:00:00+03:00,96717.30,97047.60,95080.00,95469.20,37698.4410,15155.85,15155.85,14716.01,14716.01
2026-01-15T22:00:00+03:00,95469.20,95837.80,95089.00,95567.30,12771.7350,14716.01,15404.46,14716.01,15404.46
2026-01-16T02:00:00+03:00,95567.40,95825.00,95279.80,95319.60,9561.4700,15404.46,15404.46,14850.45,14850.45
2026-01-16T06:00:00+03:00,95319.60,95790.00,95111.10,95608.40,14107.3500,14850.45,14850.45,14214.42,14214.42
2026-01-16T10:00:00+03:00,95608.40,95805.00,95210.50,95382.60,9683.4420,14214.42,14214.42,13789.73,13789.73
2026-01-16T14:00:00+03:00,95382.50,95763.00,94234.50,94537.50,37520.5600,13789.73,13789.73,9997.68,9997.68
2026-01-16T18:00:00+03:00,94537.60,95191.80,94454.50,94961.00,17146.2360,9997.68,9997.68,9896.89,9896.89
2026-01-16T22:00:00+03:00,94961.00,95550.00,94630.00,95503.70,13199.0310,9896.89,10865.66,9896.89,10865.66
2026-01-17T02:00:00+03:00,95503.80,95536.90,95136.20,95324.00,5524.5050,10865.66,10865.66,10224.56,10224.56
2026-01-17T06:00:00+03:00,95324.10,95346.10,94999.90,95061.10,4766.7760,10224.56,10224.56,9873.92,9873.92
2026-01-17T10:00:00+03:00,95061.10,95287.10,94977.50,95283.90,4032.1620,9873.92,10366.72,9873.92,10366.72
2026-01-17T14:00:00+03:00,95283.80,95621.90,95152.10,95529.00,11191.0270,10366.72,11029.30,10366.72,11029.30
2026-01-17T18:00:00+03:00,95529.00,95529.00,95165.50,95258.30,7792.8510,11029.30,11029.30,10708.27,10708.27
2026-01-17T22:00:00+03:00,95258.30,95373.20,95000.00,95107.90,5661.9120,10708.27,10708.27,9693.83,9693.83
2026-01-18T02:00:00+03:00,95107.90,95200.90,94819.50,95155.00,6600.3690,9693.83,9796.55,9693.83,9796.55
2026-01-18T06:00:00+03:00,95155.00,95236.50,94980.00,94989.90,4813.4360,9796.55,10749.48,9796.55,10749.48
2026-01-18T10:00:00+03:00,94989.90,95257.40,94980.00,95133.40,5147.4280,10749.48,11183.83,10749.48,11183.83
2026-01-18T14:00:00+03:00,95133.30,95326.40,94850.40,95067.80,12660.9490,11183.83,11183.83,10804.27,10804.27
2026-01-18T18:00:00+03:00,95067.70,95485.90,95024.60,95335.60,7763.4760,10804.27,10988.48,10804.27,10988.48
2026-01-18T22:00:00+03:00,95335.60,95490.00,93550.30,93614.00,25594.7350,10988.48,10988.48,8211.75,8211.75
2026-01-19T02:00:00+03:00,93614.00,93614.10,91800.00,92656.60,49990.2630,8211.75,8553.84,8211.75,8553.84
2026-01-19T06:00:00+03:00,92656.70,92810.00,92344.50,92787.90,11351.7180,8553.84,8562.13,8553.84,8562.13
2026-01-19T10:00:00+03:00,92787.80,93312.80,92635.00,93136.70,13800.4150,8562.13,8617.48,8562.13,8617.48
2026-01-19T14:00:00+03:00,93136.80,93188.00,92660.00,93013.50,11142.0960,8617.48,8617.48,8422.73,8422.73
