time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2026-06-21T12:14:00+03:00,63942.90,63945.30,63942.90,63945.20,11.0430,0.00,2.30,0.00,2.30
2026-06-21T12:15:00+03:00,63945.20,63945.20,63930.00,63940.00,19.8040,2.30,9.50,2.30,9.50
2026-06-21T12:16:00+03:00,63940.00,63968.70,63939.90,63957.70,30.5790,9.50,20.84,9.50,20.84
2026-06-21T12:17:00+03:00,63957.80,63978.30,63955.80,63955.90,69.1190,20.84,61.69,20.84,61.69
2026-06-21T12:18:00+03:00,63955.90,63955.90,63936.70,63936.70,32.8020,61.69,61.69,53.48,53.48
2026-06-21T12:19:00+03:00,63936.70,63948.00,63928.40,63947.00,55.6860,53.48,53.48,41.56,41.56
2026-06-21T12:20:00+03:00,63946.90,63963.10,63939.00,63963.10,28.1490,41.56,45.82,41.56,45.82
2026-06-21T12:21:00+03:00,63963.00,63986.60,63963.00,63986.60,43.3650,45.82,45.82,44.72,44.72
2026-06-21T12:22:00+03:00,63986.60,63993.20,63984.90,63984.90,47.3000,44.72,69.42,44.72,69.42
2026-06-21T12:23:00+03:00,63985.00,63988.10,63984.90,63985.20,21.7800,69.42,80.03,69.42,80.03
2026-06-21T12:24:00+03:00,63985.20,63993.40,63985.10,63989.20,42.1370,80.03,97.16,80.03,97.16
2026-06-21T12:25:00+03:00,63989.20,64049.60,63989.10,64049.60,155.8190,97.16,196.76,97.16,196.76
2026-06-21T12:26:00+03:00,64049.60,64056.30,64043.80,64049.90,85.9990,196.76,234.76,196.76,234.76
2026-06-21T12:27:00+03:00,64049.90,64066.70,64046.00,64046.00,79.0640,234.76,234.76,232.25,232.25
2026-06-21T12:28:00+03:00,64046.10,64046.10,64029.80,64032.70,48.0240,232.25,242.62,232.25,242.62
2026-06-21T12:29:00+03:00,64032.60,64032.70,64020.10,64020.10,29.0560,242.62,242.62,241.49,241.49
2026-06-21T12:30:00+03:00,64020.20,64045.60,64020.20,64045.50,67.9080,241.49,270.50,241.49,270.50
2026-06-21T12:31:00+03:00,64045.40,64052.80,64041.90,64052.80,40.3200,270.50,302.72,270.50,302.72
2026-06-21T12:32:00+03:00,64052.80,64061.80,64052.70,64056.10,84.2830,302.72,343.30,302.72,343.30
2026-06-21T12:33:00+03:00,64056.10,64065.20,64056.00,64061.30,50.2450,343.30,381.00,343.30,381.00
2026-06-21T12:34:00+03:00,64061.30,64086.40,64061.30,64072.90,72.4740,381.00,430.48,381.00,430.48
2026-06-21T12:35:00+03:00,64073.00,64105.80,64072.90,64105.70,99.2950,430.48,488.76,430.48,488.76
2026-06-21T12:36:00+03:00,64105.80,64143.70,64105.80,64122.10,133.6740,488.76,545.57,488.76,545.57
2026-06-21T12:37:00+03:00,64122.10,64166.20,64122.00,64151.00,120.7140,545.57,602.21,545.57,602.21
2026-06-21T12:38:00+03:00,64150.90,64155.40,64136.00,64140.20,62.7700,602.21,610.86,602.21,610.86
2026-06-21T12:39:00+03:00,64140.20,64213.00,64140.10,64204.10,198.8700,610.86,769.84,610.86,769.84
2026-06-21T12:40:00+03:00,64204.10,64224.50,64165.00,64165.10,87.0430,769.84,783.18,769.84,783.18
2026-06-21T12:41:00+03:00,64165.10,64165.10,64122.50,64122.60,70.2440,783.18,783.18,742.88,742.88
2026-06-21T12:42:00+03:00,64122.60,64124.00,64108.30,64108.40,49.5770,742.88,742.88,720.42,720.42
2026-06-21T12:43:00+03:00,64108.30,64108.40,64077.50,64097.50,55.7110,720.42,720.42,715.11,715.11
2026-06-21T12:44:00+03:00,64097.50,64118.40,64097.50,64115.10,51.3620,715.11,746.08,715.11,746.08
2026-06-21T12:45:00+03:00,64115.00,64117.50,64085.60,64085.60,50.8770,746.08,746.08,713.03,713.03
2026-06-21T12:46:00+03:00,64085.60,64097.70,64085.60,64097.70,11.3960,713.03,716.09,713.03,716.09
2026-06-21T12:47:00+03:00,64097.70,64114.60,64097.60,64099.80,20.8670,716.09,720.61,716.09,720.61
2026-06-21T12:48:00+03:00,64099.80,64119.90,64099.70,64119.90,26.2360,720.61,730.81,720.61,730.81
