time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2026-06-14T07:35:00+03:00,64423.00,64423.10,64365.20,64390.10,337.1720,0.00,0.00,-135.95,-135.95
2026-06-14T07:40:00+03:00,64390.10,64399.20,64350.80,64351.30,260.5360,-135.95,-135.95,-198.42,-198.42
2026-06-14T07:45:00+03:00,64351.20,64358.70,64281.00,64350.00,556.9690,-198.42,-198.42,-296.46,-296.46
2026-06-14T07:50:00+03:00,64350.00,64350.00,64291.90,64310.90,182.6240,-296.46,-296.46,-369.76,-369.76
2026-06-14T07:55:00+03:00,64311.00,64352.10,64299.90,64300.00,370.2330,-369.76,-369.76,-438.98,-438.98
2026-06-14T08:00:00+03:00,64300.00,64356.80,64299.90,64337.50,296.2030,-438.98,-281.03,-438.98,-281.03
2026-06-14T08:05:00+03:00,64337.50,64357.80,64333.00,64333.00,85.0950,-281.03,-271.01,-281.03,-271.01
2026-06-14T08:10:00+03:00,64333.10,64340.90,64290.60,64334.40,267.0160,-271.01,-271.01,-322.84,-322.84
2026-06-14T08:15:00+03:00,64334.40,64336.40,64305.50,64313.90,142.7410,-322.84,-322.84,-328.34,-328.34
2026-06-14T08:20:00+03:00,64314.00,64326.60,64313.90,64313.90,66.1920,-328.34,-328.34,-335.33,-335.33
2026-06-14T08:25:00+03:00,64313.90,64314.00,64260.10,64273.80,287.8960,-335.33,-335.33,-459.05,-459.05
2026-06-14T08:30:00+03:00,64273.70,64282.60,64260.00,64279.90,114.2200,-459.05,-459.05,-492.33,-492.33
2026-06-14T08:35:00+03:00,64279.90,64335.00,64271.90,64334.40,128.6590,-492.33,-446.90,-492.33,-446.90
2026-06-14T08:40:00+03:00,64334.40,64378.50,64329.00,64330.30,208.0750,-446.90,-407.51,-446.90,-407.51
2026-06-14T08:45:00+03:00,64330.30,64345.80,64327.00,64335.20,81.2310,-407.51,-407.51,-423.08,-423.08
2026-06-14T08:50:00+03:00,64335.20,64358.50,64335.10,64339.30,95.0940,-423.08,-365.79,-423.08,-365.79
2026-06-14T08:55:00+03:00,64339.30,64345.00,64300.30,64318.10,304.5200,-365.79,-365.79,-374.97,-374.97
2026-06-14T09:00:00+03:00,64318.10,64413.70,64318.10,64395.10,215.8070,-374.97,-248.15,-374.97,-248.15
2026-06-14T09:05:00+03:00,64395.10,64450.00,64392.00,64437.20,244.5340,-248.15,-153.70,-248.15,-153.70
2026-06-14T09:10:00+03:00,64437.10,64450.10,64403.70,64438.90,327.1190,-153.70,-103.35,-153.70,-103.35
2026-06-14T09:15:00+03:00,64438.90,64439.10,64400.00,64407.60,179.0150,-103.35,-103.35,-122.97,-122.97
2026-06-14T09:20:00+03:00,64407.70,64407.70,64333.30,64340.00,171.0390,-122.97,-122.97,-184.63,-184.63
