time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2025-06-14T03:00:00+03:00,9.2775,9.2775,9.2775,9.2775,0,0,0,0,0
2025-06-15T03:00:00+03:00,9.3494,9.3494,9.3494,9.3494,0,0,0,0,0
2025-06-16T03:00:00+03:00,9.3366,9.3366,9.3366,9.3366,0,0,0,0,0
2025-06-17T03:00:00+03:00,9.2272,9.2272,9.2272,9.2272,0,0,0,0,0
2025-06-18T03:00:00+03:00,9.4168,9.4168,9.4168,9.4168,0,0,0,0,0
2025-06-19T03:00:00+03:00,9.4181,9.4181,9.4181,9.4181,0,0,0,0,0
2025-06-20T03:00:00+03:00,9.4266,9.4266,9.4266,9.4266,0,0,0,0,0
2025-06-21T03:00:00+03:00,9.5947,9.5947,9.5947,9.5947,0,0,0,0,0
2025-06-22T03:00:00+03:00,9.8019,9.8019,9.8019,9.8019,0,0,0,0,0
2025-06-23T03:00:00+03:00,9.8663,9.8663,9.8663,9.8663,0,0,0,0,0
2025-06-24T03:00:00+03:00,9.4289,9.4289,9.4289,9.4289,0,0,0,0,0
2025-06-25T03:00:00+03:00,9.4035,9.4035,9.4035,9.4035,0,0,0,0,0
2025-06-26T03:00:00+03:00,9.3454,9.3454,9.3454,9.3454,0,0,0,0,0
2025-06-27T03:00:00+03:00,9.3923,9.3923,9.3923,9.3923,0,0,0,0,0
2025-06-28T03:00:00+03:00,9.3975,9.3975,9.3975,9.3975,0,0,0,0,0
2025-06-29T03:00:00+03:00,9.3721,9.3721,9.3721,9.3721,0,0,0,0,0
2025-06-30T03:00:00+03:00,9.2719,9.2719,9.2719,9.2719,0,0,0,0,0
2025-07-01T03:00:00+03:00,9.3740,9.3740,9.3740,9.3740,0,0,0,0,0
2025-07-02T03:00:00+03:00,9.5231,9.5231,9.5231,9.5231,0,0,0,0,0
2025-07-03T03:00:00+03:00,9.2261,9.2261,9.2261,9.2261,0,0,0,0,0
2025-07-04T03:00:00+03:00,9.1888,9.1888,9.1888,9.1888,0,0,0,0,0
2025-07-05T03:00:00+03:00,9.3406,9.3406,9.3406,9.3406,0,0,0,0,0
2025-07-06T03:00:00+03:00,9.3320,9.3320,9.3320,9.3320,0,0,0,0,0
2025-07-07T03:00:00+03:00,9.2428,9.2428,9.2428,9.2428,0,0,0,0,0
2025-07-08T03:00:00+03:00,9.3142,9.3142,9.3142,9.3142,0,0,0,0,0
2025-07-09T03:00:00+03:00,9.2418,9.2418,9.2418,9.2418,0,0,0,0,0
2025-07-10T03:00:00+03:00,9.0132,9.0132,9.0132,9.0132,0,0,0,0,0
2025-07-11T03:00:00+03:00,8.6707,8.6707,8.6707,8.6707,0,0,0,0,0
2025-07-12T03:00:00+03:00,8.5750,8.5750,8.5750,8.5750,0,0,0,0,0
2025-07-13T03:00:00+03:00,8.6059,8.6059,8.6059,8.6059,0,0,0,0,0
2025-07-14T03:00:00+03:00,8.4994,8.4994,8.4994,8.4994,0,0,0,0,0
2025-07-15T03:00:00+03:00,8.4439,8.4439,8.4439,8.4439,0,0,0,0,0
2025-07-16T03:00:00+03:00,8.5430,8.5430,8.5430,8.5430,0,0,0,0,0
2025-07-17T03:00:00+03:00,8.4041,8.4041,8.4041,8.4041,0,0,0,0,0
2025-07-18T03:00:00+03:00,8.3431,8.3431,8.3431,8.3431,0,0,0,0,0
2025-07-19T03:00:00+03:00,8.4315,8.4315,8.4315,8.4315,0,0,0,0,0
2025-07-20T03:00:00+03:00,8.4549,8.4549,8.4549,8.4549,0,0,0,0,0
