time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2026-06-10T18:15:00+03:00,61908.10,62331.00,61814.00,62229.70,3193.5290,0.00,125.51,0.00,125.51
2026-06-10T18:30:00+03:00,62229.70,62397.00,62157.40,62363.60,2507.2320,125.51,158.45,125.51,158.45
2026-06-10T18:45:00+03:00,62363.70,62840.20,62085.70,62604.80,9093.7990,158.45,1089.06,158.45,1089.06
2026-06-10T19:00:00+03:00,62604.70,62617.10,62288.60,62309.90,2747.7710,1089.06,1096.11,1089.06,1096.11
2026-06-10T19:15:00+03:00,62309.90,62418.70,62076.00,62252.80,2040.5430,1096.11,1096.11,924.37,924.37
2026-06-10T19:30:00+03:00,62252.80,62384.90,62123.90,62192.40,1371.0720,924.37,924.37,923.37,923.37
2026-06-10T19:45:00+03:00,62192.40,62197.70,61891.20,62194.50,3533.1560,923.37,923.37,569.59,569.59
2026-06-10T20:00:00+03:00,62194.60,62330.30,61975.70,62063.80,2042.9920,569.59,569.59,305.60,305.60
2026-06-10T20:15:00+03:00,62063.80,62169.50,61853.40,61871.30,1842.0520,305.60,305.60,92.19,92.19
2026-06-10T20:30:00+03:00,61871.30,61897.30,61616.00,61719.40,5052.3890,92.19,92.19,42.90,42.90
2026-06-10T20:45:00+03:00,61719.50,62015.80,61690.50,61944.50,2224.5170,42.90,81.91,42.90,81.91
2026-06-10T21:00:00+03:00,61944.40,62137.30,61885.50,61930.20,1518.3080,81.91,231.93,81.91,231.93
2026-06-10T21:15:00+03:00,61930.30,61993.80,61808.00,61992.30,999.2700,231.93,247.21,231.93,247.21
2026-06-10T21:30:00+03:00,61992.20,61992.30,61712.30,61750.50,1297.0620,247.21,301.93,247.21,301.93
2026-06-10T21:45:00+03:00,61750.60,61869.60,61552.00,61856.00,2367.3130,301.93,301.93,182.85,182.85
2026-06-10T22:00:00+03:00,61856.00,61910.00,61703.60,61718.00,1002.7210,182.85,254.75,182.85,254.75
2026-06-10T22:15:00+03:00,61718.00,61807.90,61641.40,61760.10,929.7790,254.75,254.75,104.99,104.99
2026-06-10T22:30:00+03:00,61760.00,62038.00,61756.10,61988.40,1173.9040,104.99,407.25,104.99,407.25
2026-06-10T22:45:00+03:00,61988.30,62016.60,61815.80,61908.70,1439.3850,407.25,407.25,236.90,236.90
2026-06-10T23:00:00+03:00,61908.70,61921.20,61644.40,61781.10,1234.4190,236.90,236.90,100.69,100.69
2026-06-10T23:15:00+03:00,61781.20,61918.40,61707.40,61881.40,699.7180,100.69,143.06,100.69,143.06
2026-06-10T23:30:00+03:00,61881.30,61899.50,61775.00,61775.00,637.6310,143.06,145.39,143.06,145.39
2026-06-10T23:45:00+03:00,61775.00,61809.80,61673.90,61770.10,623.8580,145.39,187.78,145.39,187.78
