time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2026-06-04T00:00:00+03:00,64971.80,65563.70,64919.10,65487.80,5992.8910,0.00,1175.69,0.00,1175.69
2026-06-04T00:30:00+03:00,65487.70,65829.40,65259.30,65738.60,6504.3950,1175.69,1630.47,1175.69,1630.47
2026-06-04T01:00:00+03:00,65738.60,65814.20,64957.40,65132.30,6891.1920,1630.47,1630.47,1445.42,1445.42
2026-06-04T01:30:00+03:00,65132.40,65237.10,64733.90,64882.10,6396.6170,1445.42,1445.42,1093.49,1093.49
2026-06-04T02:00:00+03:00,64882.10,64957.70,64323.00,64477.80,11196.5750,1093.49,1093.49,646.06,646.06
2026-06-04T02:30:00+03:00,64477.80,64606.50,64050.80,64117.70,7933.6240,646.06,646.06,-156.71,-156.71
2026-06-04T03:00:00+03:00,64117.70,64412.90,63310.20,63310.20,14307.6180,-156.71,-156.71,-2735.31,-2735.31
2026-06-04T03:30:00+03:00,63310.20,63788.60,62911.90,63314.40,17709.5980,-2735.31,-2735.31,-3412.85,-3412.85
2026-06-04T04:00:00+03:00,63314.50,63478.50,62541.00,62681.00,16266.1600,-3412.85,-3412.85,-4720.56,-4720.56
2026-06-04T04:30:00+03:00,62680.90,63144.80,62066.60,62140.30,16921.7790,-4720.56,-4720.56,-5882.65,-5882.65
2026-06-04T05:00:00+03:00,62140.40,63090.00,61344.80,62967.30,33676.4370,-5882.65,-5882.65,-6953.10,-6953.10
2026-06-04T05:30:00+03:00,62967.40,63598.70,62863.30,63198.40,14587.6850,-6953.10,-6472.17,-6953.10,-6472.17
2026-06-04T06:00:00+03:00,63198.40,64137.30,63186.70,63891.00,13490.7450,-6472.17,-5716.69,-6472.17,-5716.69
2026-06-04T06:30:00+03:00,63891.00,64495.90,63872.50,64336.20,11538.6950,-5716.69,-5716.69,-6051.33,-6051.33
2026-06-04T07:00:00+03:00,64336.20,64739.80,64301.00,64537.60,6979.7310,-6051.33,-5501.56,-6051.33,-5501.56
2026-06-04T07:30:00+03:00,64537.50,64582.50,64233.00,64364.00,5158.4050,-5501.56,-5501.56,-5866.64,-5866.64
2026-06-04T08:00:00+03:00,64363.90,64363.90,63607.40,63809.80,9613.3700,-5866.64,-5866.64,-6835.53,-6835.53
2026-06-04T08:30:00+03:00,63809.80,64312.50,63734.20,63927.60,5902.9940,-6835.53,-6323.14,-6835.53,-6323.14
2026-06-04T09:00:00+03:00,63927.60,64480.00,63858.60,64228.10,4070.7080,-6323.14,-5781.55,-6323.14,-5781.55
